evid,Time,Latitude,Longitude,Depth,Magnitude
312,2021-03-18 23:59:19.490000,46.5337,10.9013,4.76,1.13
313,2021-03-19 00:41:58.950000,46.1508,12.3468,6.56,0.49
314,2021-03-19 02:18:58.840000,46.2823,12.4798,10.56,0.41
315,2021-03-19 03:51:29.010000,46.2818,13.0347,6.63,0.73
316,2021-03-19 04:02:56.730000,46.284,13.0438,5.87,0.67
317,2021-03-19 06:06:39.630000,46.2807,13.0453,6.77,1.24
318,2021-03-19 06:16:10.400000,46.2818,13.0467,6.55,0.86
319,2021-03-19 08:12:02.390000,46.5332,10.9042,7.75,1.09
320,2021-03-19 09:47:20.480000,46.3773,12.9258,11.62,1.23
321,2021-03-19 16:54:54.150000,46.2542,13.1595,6.63,0.67
322,2021-03-19 19:08:19.220000,46.281,13.043,6.29,0.88
323,2021-03-19 20:19:45.290000,46.5678,10.4555,8.49,0.62
324,2021-03-19 20:46:52.450000,45.851,10.9268,13.75,1.02
325,2021-03-19 23:51:26.070000,46.43,12.8248,2.31,0.81
326,2021-03-20 03:53:59.840000,46.2818,13.0448,6.34,0.7
327,2021-03-20 11:26:37.350000,45.6658,14.184,7.8,1.98
328,2021-03-20 18:42:57.880000,46.279,13.043,6.25,1.06
329,2021-03-21 02:24:15.710000,45.8788,10.5893,5.75,1.59
330,2021-03-21 04:42:50.610000,46.7185,9.7857,13.35,1.79
331,2021-03-21 10:15:27.570000,46.3733,12.9418,13.42,0.8
332,2021-03-21 12:32:13.920000,46.3758,12.9477,13.99,1.03
333,2021-03-22 05:09:46.680000,45.7675,10.5772,1.51,1.14
334,2021-03-22 05:38:19.490000,45.65,10.7075,7.43,1.38
335,2021-03-22 10:24:27.740000,45.9028,14.1927,6.99,1.45
336,2021-03-22 16:56:37.500000,46.3777,13.0352,11.96,0.86
337,2021-03-22 21:34:36.850000,46.3147,13.3068,11.81,0.6
338,2021-03-23 02:10:05.140000,46.3173,13.1723,4.71,0.88
339,2021-03-23 02:31:23.210000,46.3735,12.9495,13.68,0.65
340,2021-03-23 03:30:19.170000,46.2385,13.141,7.01,0.59
341,2021-03-24 00:09:42.620000,46.3733,13.0322,11.93,0.71
342,2021-03-24 00:34:50.000000,45.459,11.1517,10.62,1.98
343,2021-03-24 00:50:25.930000,46.4005,10.5858,5.1,0.95
344,2021-03-24 11:21:16.840000,46.4555,10.6587,7.04,0.88
345,2021-03-24 21:03:40.770000,45.7733,10.5667,13.38,2.82
346,2021-03-24 21:27:04.940000,45.7835,10.5722,12.97,1.53
347,2021-03-25 00:56:11.470000,46.4195,12.3152,7.97,1.75
348,2021-03-25 14:55:49.640000,46.1952,12.3962,9.67,0.55
349,2021-03-25 16:24:24.540000,46.2913,9.879,7.63,1.76
350,2021-03-26 16:07:25.220000,45.9163,14.1912,9.07,1.14
351,2021-03-26 17:23:00.320000,46.4025,12.9695,9.27,0.42
352,2021-03-26 19:56:56.280000,46.4248,13.4853,5.96,0.52
353,2021-03-27 01:57:20.210000,46.2107,12.659,4.62,1.03
354,2021-03-27 02:11:38.710000,46.2295,13.6162,11.77,0.76
355,2021-03-27 15:22:41.370000,46.4197,12.6933,4.2,1.44
356,2021-03-27 16:09:42.620000,46.4,12.9755,10.46,1.22
357,2021-03-27 16:21:41.890000,46.3988,12.9717,10.43,1.02
358,2021-03-27 19:49:08.790000,45.3675,15.0507,6.68,2.78
359,2021-03-27 21:49:08.470000,46.2392,12.3452,7.42,1.02
360,2021-03-28 00:55:05.000000,46.4233,12.6918,5.28,1
361,2021-03-29 07:57:49.880000,45.798,14.3655,12.06,1.89
362,2021-03-29 08:11:00.670000,46.1632,12.4563,9.37,1.12
363,2021-03-29 17:10:37.710000,46.3558,13.4353,13.57,1.97
364,2021-03-29 19:59:56.330000,46.3083,12.5805,7.03,0.82
365,2021-03-31 13:48:23.660000,46.3782,12.894,8.13,1.2
366,2021-03-31 17:41:35.740000,45.8078,11.4045,13.53,0.79
367,2021-04-01 16:55:44.580000,45.7667,11.019,9.6,1.4
368,2021-04-02 01:56:47.950000,45.8538,10.191,16.4,1.42
369,2021-04-02 21:31:18.540000,46.6098,10.2867,5.96,1
370,2021-04-03 00:17:21.720000,46.6172,13.0502,12.83,1.26
371,2021-04-03 15:13:37.870000,44.7238,10.9987,22.18,2.42
372,2021-04-04 13:58:13.220000,45.3097,11.6428,9.76,2.74
373,2021-04-04 14:38:59.000000,46.3527,12.8948,6.42,1.23
374,2021-04-04 19:05:31.520000,45.8533,10.683,10.46,0.67
375,2021-04-04 23:04:13.320000,45.795,12.1837,7.15,1.13
376,2021-04-05 00:58:37.210000,46.2995,13.1073,7.16,0.56
377,2021-04-05 01:15:07.340000,46.2668,13.6885,5.08,0.94
378,2021-04-05 10:24:16.650000,46.3023,13.1087,7.01,0.63
379,2021-04-05 17:29:28.980000,46.4797,13.0712,8.9,0.81
380,2021-04-05 22:06:32.420000,46.3142,13.0783,3.76,0.7
381,2021-04-06 01:44:08.540000,46.3173,13.0937,3.36,0.71
382,2021-04-06 06:12:39.760000,46.1347,12.2948,11.5,1.22
383,2021-04-06 09:42:20.450000,46.13,12.278,11.78,1.57
384,2021-04-07 02:20:28.660000,46.7887,12.6795,11.07,2.23
385,2021-04-07 09:56:19.020000,45.5852,10.5515,10.4,1.61
386,2021-04-07 10:23:28.280000,46.3182,12.2753,8.58,0.99
387,2021-04-07 13:41:10.930000,44.8727,11.2038,10.29,2.47
